EPOCH,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,SEMIMAJOR_AXIS,OBJECT_TYPE,RCS_SIZE,LAUNCH_DATE
1635721190.0,98.1844,319.6113,222.0833,162.5395,27601,7163.116,ROCKET BODY,LARGE,2002.0
1635698547.0,64.555,267.8154,343.3346,16.5837,27605,7022.611,PAYLOAD,MEDIUM,2002.0
1635702753.0,64.5578,6.2168,354.956,5.0899,27606,7031.547,PAYLOAD,SMALL,2002.0
1635690293.0,64.5546,281.8632,342.46,17.4509,27607,7020.699,PAYLOAD,SMALL,2002.0
1635733247.0,64.5548,188.4328,322.4267,37.327,27608,7013.068,PAYLOAD,MEDIUM,2002.0
1635684573.0,64.5545,136.633,302.4861,57.1672,27609,7011.85,PAYLOAD,LARGE,2002.0
1635674371.0,64.5582,289.1832,157.4569,334.3954,27610,7175.828,ROCKET BODY,LARGE,2002.0
1635701683.0,64.5398,320.6203,274.8772,84.8015,27611,6908.668,PAYLOAD,LARGE,2002.0
1635723605.0,64.5537,139.4768,311.0625,48.6275,27612,7008.589,PAYLOAD,SMALL,2002.0
1635690836.0,82.5149,77.5393,161.1242,199.0913,27628,7296.923,DEBRIS,SMALL,1987.0
1635656287.0,82.2627,133.7094,182.2898,177.8215,27629,7081.875,DEBRIS,SMALL,1987.0
1635330715.0,65.0503,341.0863,240.4376,119.0833,27638,7303.124,DEBRIS,SMALL,1984.0
1635700718.0,82.5058,312.4253,84.0954,90.6958,27639,7372.365,DEBRIS,SMALL,1987.0
1635706052.0,98.7223,312.4679,38.6551,134.6151,27640,7206.578,PAYLOAD,LARGE,2003.0
1635708525.0,94.0384,152.6936,331.7503,28.2908,27643,6917.389,PAYLOAD,MEDIUM,2003.0
1635696527.0,39.9963,54.0932,304.1009,55.7496,27651,6977.891,PAYLOAD,LARGE,2003.0
1635693902.0,40.0037,190.6002,119.5853,240.6928,27652,6989.25,ROCKET BODY,LARGE,2003.0
1635741493.0,98.2166,299.4472,199.6678,160.2114,27653,7010.99,DEBRIS,SMALL,2001.0
1635681884.0,97.286,42.4907,268.6335,89.494,27655,7128.837,DEBRIS,SMALL,2001.0
1635713163.0,97.8678,350.2763,227.2536,307.8646,27657,6933.532,DEBRIS,SMALL,2001.0
1635721120.0,88.1753,219.4395,237.6335,244.8708,27658,7740.346,DEBRIS,MEDIUM,1971.0
1635708514.0,39.7478,112.2834,54.7429,306.9581,27664,7009.596,PAYLOAD,MEDIUM,2003.0
1635689420.0,39.5758,255.5871,215.2501,313.0195,27665,7174.658,ROCKET BODY,LARGE,2003.0
1635657025.0,98.8139,306.2984,226.0299,133.2124,27676,7147.519,DEBRIS,SMALL,1999.0
1635613803.0,98.7014,295.2046,135.3775,348.4567,27677,7119.762,DEBRIS,SMALL,1999.0
1635704618.0,98.8313,276.4724,290.0876,186.6846,27678,7161.473,DEBRIS,SMALL,1999.0
1635709258.0,81.9785,135.112,227.5732,129.698,27679,7194.922,DEBRIS,SMALL,1994.0
1635701630.0,98.7772,281.346,92.9999,268.1589,27687,7146.994,DEBRIS,SMALL,1999.0
1635704535.0,98.6742,314.4917,319.286,216.3233,27688,7121.811,DEBRIS,SMALL,1999.0
1635705907.0,99.7865,316.9412,304.3363,232.7168,27689,7541.051,DEBRIS,SMALL,2001.0
1635701034.0,100.5028,120.5202,224.8338,146.4941,27690,7521.896,DEBRIS,SMALL,2001.0
1635687765.0,96.493,258.6874,40.712,327.571,27720,8019.967,DEBRIS,SMALL,1965.0
1635710542.0,31.6399,3.4385,336.2779,23.204,27721,7139.84,DEBRIS,SMALL,1965.0
1635579772.0,70.0089,168.9534,237.1233,295.3978,27725,6975.118,DEBRIS,SMALL,1969.0
1635427967.0,97.8111,84.5171,129.2993,231.7949,27726,7190.369,DEBRIS,SMALL,1975.0
1635387799.0,102.6327,162.2774,307.8901,210.5839,27727,8204.177,DEBRIS,SMALL,1976.0
1635675025.0,102.4758,157.24,64.6951,49.3999,27728,8135.095,DEBRIS,SMALL,1976.0
1635489226.0,28.6531,38.9693,270.8828,83.6281,27729,7268.371,DEBRIS,SMALL,1977.0
1635682318.0,83.1175,47.1704,11.7767,348.4073,27733,7242.664,DEBRIS,SMALL,1981.0
1635623459.0,83.1221,259.4776,209.5855,149.9445,27734,7293.761,DEBRIS,SMALL,1981.0
1635684391.0,83.0532,21.2428,321.0442,104.8036,27735,7348.833,DEBRIS,SMALL,1981.0
1635660511.0,82.9591,140.9164,270.6575,266.6448,27736,7992.439,DEBRIS,SMALL,1981.0
1635728400.0,82.9582,240.6786,356.4663,15.8701,27737,8022.956,DEBRIS,SMALL,1981.0
1635659237.0,82.9536,126.5551,233.464,304.4281,27738,7989.742,DEBRIS,SMALL,1981.0
1635678321.0,65.0523,346.5276,236.7974,122.757,27739,7303.974,DEBRIS,SMALL,1984.0
1635724925.0,97.0467,1.3384,84.0495,276.3197,27741,6817.059,DEBRIS,SMALL,1985.0
1635695145.0,74.1259,97.6016,277.1043,82.2612,27742,7082.551,DEBRIS,SMALL,1987.0
1635713849.0,74.0633,179.7729,154.62,219.8041,27743,7970.46,DEBRIS,SMALL,1991.0
1635722058.0,74.0539,195.6271,189.8463,183.8891,27744,7977.003,DEBRIS,SMALL,1991.0
1635697576.0,73.9192,115.7531,315.5536,54.5355,27745,7924.162,DEBRIS,LARGE,1991.0
1635672663.0,74.1058,6.2578,290.69,81.3057,27746,7995.732,DEBRIS,SMALL,1991.0
